arm,step,manifolds_live,points
full_step/1,686,5055,17188
full_step/1,687,5055,17189
full_step/1,688,5055,17190
full_step/1,689,5055,17191
full_step/1,690,5055,17193
full_step/1,691,5055,17190
full_step/1,692,5055,17191
full_step/1,693,5055,17191
full_step/1,694,5055,17191
full_step/1,695,5055,17191
full_step/1,696,5055,17190
full_step/1,697,5055,17192
full_step/1,698,5055,17192
full_step/1,699,5055,17190
full_step/1,700,5055,17190
full_step/1,701,5056,17191
full_step/1,702,5056,17191
full_step/1,703,5055,17190
full_step/1,704,5056,17191
full_step/1,705,5055,17193
full_step/1,706,5056,17193
full_step/1,707,5055,17191
full_step/1,708,5056,17191
full_step/1,709,5056,17190
full_step/1,710,5056,17190
full_step/1,711,5056,17191
full_step/1,712,5056,17192
full_step/1,713,5056,17190
full_step/1,714,5056,17191
full_step/1,715,5057,17192
full_step/1,716,5056,17192
full_step/1,717,5057,17195
full_step/1,718,5056,17194
full_step/1,719,5057,17195
full_step/1,720,5056,17191
full_step/1,721,5057,17190
full_step/1,722,5057,17192
full_step/1,723,5056,17189
full_step/1,724,5057,17188
full_step/1,725,5056,17185
full_step/1,726,5057,17187
full_step/1,727,5056,17188
full_step/1,728,5057,17186
full_step/1,729,5057,17186
full_step/1,730,5056,17185
full_step/1,731,5056,17184
full_step/1,732,5057,17186
full_step/1,733,5057,17186
full_step/1,734,5056,17186
full_step/1,735,5057,17191
full_step/1,736,5057,17189
full_step/1,737,5057,17187
full_step/1,738,5057,17186
full_step/1,739,5057,17185
full_step/1,740,5057,17187
full_step/1,741,5056,17188
full_step/1,742,5057,17189
full_step/1,743,5058,17193
full_step/1,744,5060,17192
full_step/1,745,5059,17191
full_step/1,746,5058,17190
full_step/1,747,5058,17187
full_step/1,748,5058,17189
full_step/1,749,5058,17190
full_step/1,750,5059,17194
full_step/1,751,5059,17194
full_step/1,752,5059,17189
full_step/1,753,5059,17192
full_step/1,754,5058,17192
full_step/1,755,5059,17191
full_step/1,756,5059,17189
full_step/1,757,5059,17187
full_step/1,758,5058,17188
full_step/1,759,5059,17189
full_step/1,760,5059,17191
full_step/1,761,5058,17192
full_step/1,762,5059,17192
full_step/1,763,5059,17190
full_step/1,764,5058,17193
full_step/1,765,5058,17193
full_step/1,766,5059,17197
full_step/1,767,5059,17202
full_step/1,768,5058,17199
full_step/1,769,5059,17202
full_step/1,770,5057,17198
full_step/1,771,5057,17201
full_step/1,772,5058,17201
full_step/1,773,5058,17201
full_step/1,774,5058,17201
full_step/1,775,5057,17198
full_step/1,776,5058,17200
full_step/1,777,5057,17198
full_step/1,778,5058,17202
full_step/1,779,5057,17203
full_step/1,780,5057,17201
full_step/1,781,5058,17202
full_step/1,782,5058,17202
full_step/1,783,5057,17203
full_step/1,784,5058,17203
full_step/1,785,5058,17204
full_step/1,786,5057,17204
full_step/1,787,5058,17207
full_step/1,788,5057,17207
full_step/1,789,5058,17207
full_step/1,790,5058,17208
full_step/1,791,5057,17208
full_step/1,792,5058,17207
full_step/1,793,5057,17204
full_step/1,794,5056,17202
full_step/1,795,5057,17200
full_step/1,796,5056,17203
full_step/1,797,5056,17201
full_step/1,798,5057,17201
full_step/1,799,5056,17203
full_step/1,800,5056,17203
full_step/1,801,5057,17206
full_step/1,802,5056,17202
full_step/1,803,5057,17203
full_step/1,804,5057,17203
full_step/1,805,5056,17203
full_step/1,806,5057,17202
full_step/1,807,5057,17205
full_step/1,808,5056,17201
full_step/1,809,5057,17204
full_step/1,810,5056,17202
full_step/1,811,5057,17202
full_step/1,812,5056,17202
full_step/1,813,5057,17200
full_step/1,814,5056,17198
full_step/1,815,5057,17204
full_step/1,816,5056,17202
full_step/1,817,5057,17204
full_step/1,818,5056,17202
full_step/1,819,5057,17201
full_step/1,820,5056,17199
full_step/1,821,5056,17200
full_step/1,822,5057,17200
full_step/1,823,5056,17201
full_step/1,824,5056,17199
full_step/1,825,5057,17202
full_step/1,826,5056,17199
full_step/1,827,5057,17200
full_step/1,828,5056,17200
full_step/1,829,5056,17198
full_step/1,830,5057,17199
full_step/1,831,5056,17198
full_step/1,832,5057,17197
full_step/1,833,5057,17198
full_step/1,834,5056,17194
full_step/1,835,5057,17199
full_step/1,836,5057,17197
full_step/1,837,5056,17194
full_step/1,838,5057,17193
full_step/1,839,5057,17195
full_step/1,840,5056,17195
full_step/1,841,5057,17194
full_step/1,842,5056,17200
full_step/1,843,5057,17199
full_step/1,844,5057,17200
full_step/1,845,5056,17201
full_step/1,846,5056,17203
full_step/1,847,5056,17204
full_step/1,848,5057,17203
full_step/1,849,5057,17199
full_step/1,850,5056,17201
full_step/1,851,5056,17201
full_step/1,852,5057,17204
full_step/1,853,5056,17204
full_step/1,854,5056,17205
full_step/1,855,5056,17208
full_step/1,856,5057,17207
full_step/1,857,5057,17208
full_step/1,858,5056,17204
full_step/1,859,5058,17205
full_step/1,860,5059,17208
full_step/1,861,5058,17205
full_step/1,862,5058,17205
full_step/1,863,5058,17205
full_step/1,864,5058,17205
full_step/1,865,5058,17206
full_step/1,866,5058,17204
full_step/1,867,5058,17206
full_step/1,868,5057,17206
full_step/1,869,5057,17204
full_step/1,870,5058,17203
full_step/1,871,5057,17203
full_step/1,872,5058,17205
full_step/1,873,5057,17201
full_step/1,874,5058,17202
full_step/1,875,5057,17201
full_step/1,876,5058,17204
full_step/1,877,5058,17202
full_step/1,878,5057,17202
full_step/1,879,5059,17203
full_step/1,880,5058,17201
full_step/1,881,5059,17204
full_step/1,882,5059,17204
full_step/1,883,5059,17202
full_step/1,884,5060,17205
full_step/1,885,5060,17204
full_step/1,886,5058,17202
full_step/1,887,5059,17206
full_step/1,888,5058,17202
full_step/1,889,5060,17207
full_step/1,890,5059,17206
full_step/1,891,5059,17205
full_step/1,892,5060,17206
full_step/1,893,5060,17205
full_step/1,894,5060,17206
full_step/1,895,5061,17205
full_step/1,896,5061,17206
full_step/1,897,5059,17205
full_step/1,898,5059,17205
full_step/1,899,5058,17201
full_step/1,900,5059,17203
full_step/1,901,5059,17206
full_step/1,902,5058,17204
full_step/1,903,5058,17205
full_step/1,904,5059,17205
full_step/1,905,5058,17202
full_step/1,906,5058,17201
full_step/1,907,5058,17203
full_step/1,908,5059,17201
full_step/1,909,5059,17205
full_step/1,910,5059,17203
full_step/1,911,5059,17201
full_step/1,912,5060,17203
full_step/1,913,5058,17202
full_step/1,914,5059,17202
full_step/1,915,5059,17203
full_step/1,916,5059,17206
full_step/1,917,5059,17207
full_step/1,918,5059,17208
full_step/1,919,5060,17210
full_step/1,920,5058,17208
full_step/1,921,5060,17208
full_step/1,922,5060,17207
full_step/1,923,5059,17207
full_step/1,924,5059,17209
full_step/1,925,5059,17210
full_step/1,926,5060,17207
full_step/1,927,5059,17207
full_step/1,928,5060,17208
full_step/1,929,5061,17211
full_step/1,930,5059,17209
full_step/1,931,5061,17212
full_step/1,932,5058,17207
full_step/1,933,5060,17211
full_step/1,934,5059,17212
full_step/1,935,5060,17214
full_step/1,936,5060,17215
full_step/1,937,5061,17217
full_step/1,938,5060,17213
full_step/1,939,5060,17216
full_step/1,940,5061,17213
full_step/1,941,5060,17211
full_step/1,942,5059,17212
full_step/1,943,5059,17209
full_step/1,944,5061,17220
full_step/1,945,5061,17219
full_step/1,946,5061,17218
full_step/1,947,5062,17221
full_step/1,948,5062,17221
full_step/1,949,5063,17220
full_step/1,950,5063,17221
full_step/1,951,5062,17222
full_step/1,952,5061,17218
full_step/1,953,5062,17220
full_step/1,954,5062,17221
full_step/1,955,5063,17221
full_step/1,956,5062,17222
full_step/1,957,5062,17222
full_step/1,958,5063,17224
full_step/1,959,5062,17222
full_step/1,960,5062,17223
full_step/1,961,5062,17223
full_step/1,962,5061,17221
full_step/1,963,5059,17219
full_step/1,964,5061,17219
full_step/1,965,5061,17219
full_step/1,966,5061,17217
full_step/1,967,5061,17217
full_step/1,968,5061,17219
full_step/1,969,5061,17223
full_step/1,970,5061,17223
full_step/1,971,5061,17223
full_step/1,972,5061,17222
full_step/1,973,5061,17226
full_step/1,974,5061,17226
full_step/1,975,5061,17226
full_step/1,976,5061,17225
full_step/1,977,5061,17226
full_step/1,978,5061,17227
full_step/1,979,5061,17228
full_step/1,980,5061,17226
full_step/1,981,5061,17227
full_step/1,982,5061,17225
full_step/1,983,5060,17226
full_step/1,984,5060,17223
full_step/1,985,5059,17222
full_step/1,986,5059,17222
full_step/1,987,5060,17225
full_step/1,988,5060,17223
full_step/1,989,5060,17220
full_step/1,990,5059,17221
full_step/1,991,5060,17220
full_step/1,992,5060,17222
full_step/1,993,5061,17223
full_step/1,994,5061,17228
full_step/1,995,5060,17226
