arm,step,manifolds_live,points
full_step/1,531,4865,13690
full_step/1,532,4867,13665
full_step/1,533,4864,13740
full_step/1,534,4874,13724
full_step/1,535,4872,13708
full_step/1,536,4870,13677
full_step/1,537,4861,13605
full_step/1,538,4863,13641
full_step/1,539,4860,13618
full_step/1,540,4861,13607
full_step/1,541,4862,13597
full_step/1,542,4867,13624
full_step/1,543,4859,13640
full_step/1,544,4860,13610
full_step/1,545,4856,13606
full_step/1,546,4856,13674
full_step/1,547,4863,13687
full_step/1,548,4875,13730
full_step/1,549,4863,13669
full_step/1,550,4869,13719
full_step/1,551,4863,13732
full_step/1,552,4864,13738
full_step/1,553,4864,13737
full_step/1,554,4858,13672
full_step/1,555,4858,13659
full_step/1,556,4852,13644
full_step/1,557,4859,13633
full_step/1,558,4858,13676
full_step/1,559,4862,13695
full_step/1,560,4858,13620
full_step/1,561,4857,13598
full_step/1,562,4860,13637
full_step/1,563,4868,13645
full_step/1,564,4867,13631
full_step/1,565,4866,13648
full_step/1,566,4870,13656
full_step/1,567,4862,13636
full_step/1,568,4862,13648
full_step/1,569,4865,13647
full_step/1,570,4857,13601
full_step/1,571,4858,13639
full_step/1,572,4860,13660
full_step/1,573,4866,13637
full_step/1,574,4870,13640
full_step/1,575,4862,13673
full_step/1,576,4863,13632
full_step/1,577,4858,13608
full_step/1,578,4861,13611
full_step/1,579,4860,13590
full_step/1,580,4861,13588
full_step/1,581,4855,13582
full_step/1,582,4866,13574
full_step/1,583,4868,13589
full_step/1,584,4865,13574
full_step/1,585,4855,13594
full_step/1,586,4857,13584
full_step/1,587,4859,13517
full_step/1,588,4862,13521
full_step/1,589,4860,13510
full_step/1,590,4871,13538
full_step/1,591,4857,13565
full_step/1,592,4857,13609
full_step/1,593,4859,13570
full_step/1,594,4855,13542
full_step/1,595,4861,13527
full_step/1,596,4860,13529
full_step/1,597,4856,13521
full_step/1,598,4856,13499
full_step/1,599,4863,13561
full_step/1,600,4872,13496
full_step/1,601,4872,13521
full_step/1,602,4872,13555
full_step/1,603,4879,13504
full_step/1,604,4868,13491
full_step/1,605,4874,13525
full_step/1,606,4872,13565
full_step/1,607,4868,13587
full_step/1,608,4864,13662
full_step/1,609,4861,13700
full_step/1,610,4868,13732
full_step/1,611,4874,13729
full_step/1,612,4870,13750
full_step/1,613,4872,13726
full_step/1,614,4869,13738
full_step/1,615,4873,13742
full_step/1,616,4874,13715
full_step/1,617,4873,13683
full_step/1,618,4866,13627
full_step/1,619,4864,13570
full_step/1,620,4862,13562
full_step/1,621,4863,13567
full_step/1,622,4864,13587
full_step/1,623,4867,13619
full_step/1,624,4866,13664
full_step/1,625,4874,13708
full_step/1,626,4882,13675
full_step/1,627,4873,13640
full_step/1,628,4876,13674
full_step/1,629,4866,13670
full_step/1,630,4866,13634
full_step/1,631,4873,13657
full_step/1,632,4874,13666
full_step/1,633,4872,13682
full_step/1,634,4865,13662
full_step/1,635,4871,13628
full_step/1,636,4879,13634
full_step/1,637,4880,13633
full_step/1,638,4872,13628
full_step/1,639,4874,13594
full_step/1,640,4872,13600
full_step/1,641,4868,13596
full_step/1,642,4873,13600
full_step/1,643,4862,13561
full_step/1,644,4865,13558
