step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
31,10688900,4639,9570,34.593895,,0,13,11,132,111383,1373,4359,10577517,18,200,240,1,23606,1,60,1,1910784,1,2695251,1,543455,1,110517,1,5278283,1,15320,1,829926,1,7615,4,598713,4,62883,4,1203458,4,2414281,8,3585105,132,28275,24,5591,1,151928,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,0,1
32,11620100,4573,9570,34.504993,,0,13,11,132,855366,1333,4409,10764734,18,200,210,1,31762,1,70,1,2138921,1,2630144,1,543435,1,110777,1,5293483,1,15931,1,929501,1,7595,4,593162,4,63705,4,1189270,4,2322691,8,3476773,132,30780,24,5441,1,178189,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,16368,1,130,1,9570,1,4573,1,16498,1,9570,1,0,1
33,10701900,4491,9570,34.413364,,0,13,11,132,62552,1242,4980,10639348,18,200,220,1,31963,1,140,1,2107209,1,2708157,1,543335,1,103984,1,5133099,1,11242,1,854404,1,7795,4,585978,4,64076,4,1181896,4,2280358,8,3432085,132,25189,24,5471,1,149273,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,16106,1,116,1,9570,1,4491,1,16222,1,9570,1,0,1
34,11259900,5031,9570,34.31901,,0,14,11,132,54823,1192,5140,11205077,18,212,210,1,23767,1,60,1,1909682,1,2803443,1,543315,1,126388,1,5787130,1,11082,1,905474,1,7675,4,664071,4,63725,4,1356779,4,2596989,8,3869372,132,79255,36,6162,1,182568,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,17973,1,388,1,9570,1,5031,1,18361,1,9570,1,0,1
35,11122700,4806,9570,34.221935,,0,14,11,132,54281,1202,4479,11068419,18,212,200,1,23626,1,60,1,1912578,1,2940292,1,543335,1,118933,1,5518313,1,11082,1,885275,1,7655,4,614284,4,64035,4,1271321,4,2487575,8,3717524,132,36892,36,5701,1,178349,1,2916,1,0,0,0,0,0,0,0,0,0,0,0,0,16833,1,118,1,9570,1,4806,1,16951,1,9570,1,0,1
36,10771100,4646,9570,34.12213,,0,14,11,132,43439,1122,4619,10727661,18,212,220,1,23586,1,110,1,1910514,1,2862169,1,543315,1,123482,1,5253625,1,10641,1,834956,1,7294,4,585347,4,63064,4,1205552,4,2357339,8,3523634,132,34638,36,5461,1,190824,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,16171,1,126,1,9570,1,4646,1,16297,1,9570,1,0,1
37,10877200,4535,9570,34.019604,,0,13,10,120,60905,1433,4449,10816295,18,200,170,1,23496,1,60,1,1887218,1,2816058,1,543234,1,119224,1,5415642,1,11192,1,1051561,1,7936,4,594775,4,62583,4,1242224,4,2303063,8,3468687,120,72151,36,5160,1,144383,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,15408,1,325,1,9570,1,4535,1,15733,1,9570,1,0,1
38,10680000,4502,9570,33.91435,,0,13,11,132,63487,1323,4158,10616513,18,200,170,1,29668,1,60,1,2099644,1,2856638,1,543365,1,108893,1,4967444,1,10631,1,762715,1,7344,4,551070,4,62813,4,1167257,4,2266361,8,3404822,132,24638,24,5150,1,140896,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,15473,1,104,1,9570,1,4502,1,15577,1,9570,1,0,1
39,11357100,4984,9570,33.806374,,0,14,12,144,122656,1303,4679,11234444,18,212,140,1,27283,1,60,1,1896506,1,2923899,1,543395,1,127500,1,5704548,1,11112,1,923129,1,7976,4,634684,4,63805,4,1330978,4,2570898,8,3866657,144,30540,24,6352,1,162869,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,17363,1,128,1,9570,1,4984,1,17491,1,9570,1,0,1
40,11491000,5009,9570,33.69567,,0,15,11,132,52616,1323,4880,11438384,18,224,220,1,24027,1,40,1,1916576,1,3088672,1,543455,1,127680,1,5725489,1,12224,1,900515,1,7715,4,628832,4,67332,4,1346288,4,2596688,8,3867088,132,71009,48,5872,1,168350,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,17089,1,251,1,9570,1,5009,1,17340,1,9570,1,0,1
