step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
30,10112400,4670,9570,34.680073,,0,13,11,132,53118,1443,3267,10059282,18,200,150,1,29347,1,70,1,2123829,1,2884942,1,453794,1,113591,1,4439341,1,14218,1,739581,1,12023,4,592745,4,70127,4,1000500,4,1965530,8,2937033,132,25730,24,3377,1,51220,1,2795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16931,1,131,1,9570,1,4670,1,17062,1,9570,1,0,1,0,0,0,0,0,0
31,9673200,4639,9570,34.593895,,0,13,11,132,50318,1262,3227,9622882,18,200,120,1,26011,1,70,1,1929209,1,3031968,1,453724,1,111397,1,4056334,1,14047,1,502880,1,7725,4,514623,4,65047,4,978066,4,1942265,8,2893919,132,23185,24,3286,1,38184,1,2996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,0,1,0,0,0,0,0,0
32,9301300,4573,9570,34.504993,,0,13,11,132,46546,1874,3507,9254754,18,200,10,1,25820,1,40,1,2008364,1,2786780,1,453634,1,108020,1,3858749,1,13336,1,343620,1,8076,4,515695,4,66219,4,970281,4,1916364,8,2857147,132,25991,24,3066,1,30870,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16368,1,130,1,9570,1,4573,1,16498,1,9570,1,0,1,0,0,0,0,0,0
33,9561800,4491,9570,34.413364,,0,13,11,132,60896,1353,3688,9500904,18,200,30,1,24378,1,100,1,1928227,1,2752023,1,453604,1,168689,1,4160527,1,13326,1,456860,1,11152,4,630589,4,72842,4,987023,4,1963767,8,2925370,132,21732,24,2996,1,30650,1,3296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106,1,116,1,9570,1,4491,1,16222,1,9570,1,0,1,0,0,0,0,0,0
34,10212200,5031,9570,34.31901,,0,14,11,132,46200,1102,3828,10166000,18,212,170,1,40208,1,90,1,2450756,1,2830155,1,453644,1,126356,1,4250623,1,13997,1,402905,1,7775,4,563127,4,73874,4,1072159,4,2090424,8,3093107,132,65648,36,3868,1,32814,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17973,1,388,1,9570,1,5031,1,18361,1,9570,1,0,1,0,0,0,0,0,0
35,9795400,4806,9570,34.221935,,0,14,11,132,59719,1112,4379,9735681,18,212,100,1,25169,1,110,1,1934870,1,2920160,1,453684,1,161094,1,4227117,1,13376,1,484454,1,9699,4,584790,4,66830,4,1023745,4,2018754,8,3007511,132,30610,36,3236,1,31131,1,3367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16833,1,118,1,9570,1,4806,1,16951,1,9570,1,0,1,0,0,0,0,0,0
36,9538900,4646,9570,34.12213,,0,14,11,132,57344,1092,4810,9481556,18,212,120,1,24147,1,70,1,1920562,1,2960309,1,453714,1,116447,1,3990065,1,16121,1,394809,1,7675,4,502609,4,65027,4,980110,4,1986511,8,2933065,132,28746,36,3777,1,44918,1,3537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16171,1,126,1,9570,1,4646,1,16297,1,9570,1,0,1,0,0,0,0,0,0
37,9269900,4535,9570,34.019604,,0,13,10,120,44853,1042,3417,9225047,18,200,100,1,24738,1,140,1,1927085,1,2881405,1,453684,1,112479,1,3812289,1,13126,1,355944,1,8176,4,489344,4,65097,4,956975,4,1899491,8,2792561,120,60488,36,3397,1,30189,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15408,1,325,1,9570,1,4535,1,15733,1,9570,1,0,1,0,0,0,0,0,0
38,9268700,4502,9570,33.91435,,0,13,11,132,44756,1092,3347,9223944,18,200,20,1,24197,1,30,1,1930622,1,2892196,1,453754,1,114313,1,3795887,1,12925,1,372305,1,8797,4,489534,4,65197,4,948609,4,1881116,8,2805887,132,20490,24,3056,1,23586,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15473,1,104,1,9570,1,4502,1,15577,1,9570,1,0,1,0,0,0,0,0,0
39,9790600,4984,9570,33.806374,,0,14,12,144,54488,1353,3678,9736112,18,212,20,1,23806,1,40,1,1923498,1,2968935,1,453744,1,129853,1,4222809,1,13406,1,392064,1,8116,4,553028,4,65397,4,1059695,4,2082458,8,3112595,144,25880,24,3998,1,53564,1,3136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17363,1,128,1,9570,1,4984,1,17491,1,9570,1,0,1,0,0,0,0,0,0
