step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
30,8842700,4670,9570,34.680073,,0,13,11,132,41000,1623,3147,8801700,18,200,80,1,26403,1,70,1,1919524,1,2908539,1,427083,1,128757,1,3380282,1,10962,1,438556,1,7856,4,320159,4,65300,4,848855,4,1669204,8,2493330,132,21583,24,3347,1,22856,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16931,1,131,1,9570,1,4670,1,17062,1,9570,1,0,1,0,0,0,0,0,0
31,8637000,4639,9570,34.593895,,0,13,11,132,43906,1102,3096,8593094,18,200,40,1,25411,1,30,1,1925787,1,2787848,1,426933,1,113908,1,3302076,1,11062,1,371923,1,7465,4,303366,4,65661,4,839066,4,1665847,8,2481937,132,19880,24,3487,1,40761,1,3397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,0,1,0,0,0,0,0,0
32,9188200,4573,9570,34.504993,,0,13,11,132,50438,1313,3226,9137762,18,200,271,1,33647,1,110,1,2582649,1,2763019,1,427113,1,108908,1,3211114,1,10932,1,337674,1,7725,4,298446,4,65210,4,820258,4,1645477,8,2440895,132,21613,24,3788,1,28537,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16368,1,130,1,9570,1,4573,1,16498,1,9570,1,0,1,0,0,0,0,0,0
33,9137500,4491,9570,34.413364,,0,13,11,132,49388,1743,3368,9088112,18,200,60,1,48106,1,80,1,2284884,1,2757818,1,428446,1,107585,1,3449771,1,11363,1,455600,1,9770,4,386101,4,69298,4,836912,4,1657691,8,2473059,132,18176,24,3287,1,26713,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106,1,116,1,9570,1,4491,1,16222,1,9570,1,0,1,0,0,0,0,0,0
34,8979300,5031,9570,34.31901,,0,14,11,132,43832,1142,3377,8935468,18,212,80,1,25491,1,100,1,1916688,1,2859532,1,427023,1,130170,1,3565141,1,11242,1,418997,1,8086,4,329879,4,64980,4,916040,4,1795146,8,2652307,132,55501,36,3547,1,24820,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17973,1,388,1,9570,1,5031,1,18361,1,9570,1,0,1,0,0,0,0,0,0
35,8994400,4806,9570,34.221935,,0,14,11,132,59133,1042,3277,8935267,18,212,50,1,29599,1,60,1,1929764,1,2920012,1,426993,1,119098,1,3498398,1,11293,1,401352,1,8737,4,355340,4,66122,4,871871,4,1748903,8,2591576,132,25921,36,3938,1,38317,1,2776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16833,1,118,1,9570,1,4806,1,16951,1,9570,1,0,1,0,0,0,0,0,0
36,9322100,4646,9570,34.12213,,0,14,11,132,55401,1323,4569,9266699,18,212,100,1,25431,1,100,1,1925726,1,2980684,1,427183,1,160581,1,3735381,1,11513,1,600049,1,9469,4,404869,4,69910,4,909867,4,1699174,8,2579261,132,25210,36,3828,1,34379,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16171,1,126,1,9570,1,4646,1,16297,1,9570,1,0,1,0,0,0,0,0,0
37,9289500,4535,9570,34.019604,,0,13,10,120,49554,1293,3257,9239946,18,200,200,1,39900,1,90,1,2443491,1,2962738,1,427013,1,111773,1,3243829,1,10912,1,410490,1,7916,4,296011,4,64890,4,815930,4,1615106,8,2375635,120,52144,36,3377,1,26303,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15408,1,325,1,9570,1,4535,1,15733,1,9570,1,0,1,0,0,0,0,0,0
38,8654700,4502,9570,33.91435,,0,13,11,132,41767,1313,3167,8612933,18,200,40,1,24900,1,60,1,1919484,1,2879051,1,426883,1,111793,1,3239501,1,11222,1,385941,1,14910,4,296212,4,66823,4,815359,4,1623092,8,2417488,132,17796,24,3307,1,29940,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15473,1,104,1,9570,1,4502,1,15577,1,9570,1,0,1,0,0,0,0,0,0
39,9553600,4984,9570,33.806374,,0,14,12,144,65148,1453,3567,9488452,18,212,90,1,25401,1,120,1,1923632,1,2969601,1,427063,1,196623,1,3934980,1,10942,1,525690,1,9349,4,409528,4,77735,4,984997,4,1883572,8,2842207,144,22796,24,3647,1,36433,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17363,1,128,1,9570,1,4984,1,17491,1,9570,1,0,1,0,0,0,0,0,0
40,10199400,5009,9570,33.69567,,0,15,11,132,54116,1403,4550,10145284,18,224,10,1,39579,1,110,1,2311397,1,3355031,1,427003,1,129940,1,3870120,1,12094,1,648766,1,8387,4,329177,4,65561,4,906821,4,1826458,8,2681095,132,47635,48,3998,1,75060,1,4489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17089,1,251,1,9570,1,5009,1,17340,1,9570,1,0,1,0,0,0,0,0,0
41,9207200,4852,9570,33.58224,,0,14,11,132,48597,1192,3146,9158603,18,212,60,1,26242,1,60,1,1943482,1,3112567,1,426853,1,137004,1,3501344,1,10992,1,443295,1,7385,4,318065,4,65391,4,881040,4,1742320,8,2584262,132,35952,36,3597,1,36463,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16401,1,190,1,9570,1,4852,1,16591,1,9570,1,0,1,0,0,0,0,0,0
42,9106600,4753,9570,33.466087,,0,14,11,132,39329,1222,3267,9067271,18,212,70,1,25401,1,90,1,1926528,1,3059832,1,426903,1,143346,1,3474199,1,10902,1,456011,1,8046,4,339869,4,67395,4,859878,4,1710016,8,2535965,132,30661,36,3527,1,25701,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15808,1,154,1,9570,1,4753,1,15962,1,9570,1,0,1,0,0,0,0,0,0
