step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
30,8889400,4670,9570,34.680073,,0,13,11,132,44029,1493,3777,8845371,18,200,20,1,24567,1,30,1,1930701,1,2775034,1,452951,1,110883,1,3538010,1,13175,1,381844,1,8516,4,525119,4,64885,4,840305,4,1679227,8,2492621,132,23134,24,3186,1,30889,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16931,1,131,1,9570,1,4670,1,17062,1,9570,1,0,1,0,0,0,0,0,0
31,8967600,4639,9570,34.593895,,0,13,11,132,60100,1082,2986,8907500,18,200,60,1,25018,1,50,1,1931402,1,2769854,1,452850,1,125010,1,3590080,1,13175,1,466517,1,8817,4,521352,4,65997,4,837670,4,1656043,8,2470458,132,20269,24,3787,1,26130,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,0,1,0,0,0,0,0,0
32,8745300,4573,9570,34.504993,,0,13,11,132,41882,1032,2946,8703418,18,200,10,1,24948,1,180,1,1923788,1,2761658,1,453421,1,113278,1,3412659,1,13476,1,353369,1,7504,4,509900,4,65336,4,824104,4,1622819,8,2421033,132,22944,24,3026,1,22984,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16368,1,130,1,9570,1,4573,1,16498,1,9570,1,0,1,0,0,0,0,0,0
33,8711100,4491,9570,34.413364,,0,13,11,132,43951,1132,2816,8667149,18,200,130,1,25359,1,100,1,1926212,1,2723805,1,452860,1,117917,1,3407700,1,13065,1,400169,1,7334,4,498097,4,65005,4,804947,4,1598462,8,2380945,132,19648,24,3056,1,26822,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106,1,116,1,9570,1,4491,1,16222,1,9570,1,0,1,0,0,0,0,0,0
34,9239400,5031,9570,34.31901,,0,14,11,132,46862,1303,3127,9192538,18,212,80,1,24878,1,110,1,1932264,1,2834228,1,453101,1,128447,1,3806356,1,13075,1,384770,1,8857,4,575546,4,65185,4,908707,4,1820639,8,2667486,132,58733,36,3366,1,35428,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17973,1,388,1,9570,1,5031,1,18361,1,9570,1,0,1,0,0,0,0,0,0
35,9192700,4806,9570,34.221935,,0,14,11,132,44196,1182,2967,9148504,18,212,120,1,25088,1,311,1,1924729,1,2961833,1,453041,1,123638,1,3646619,1,13125,1,420528,1,7915,4,527975,4,65045,4,872256,4,1720797,8,2563616,132,26471,36,3256,1,25128,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16833,1,118,1,9570,1,4806,1,16951,1,9570,1,0,1,0,0,0,0,0,0
36,8987400,4646,9570,34.12213,,0,14,11,132,52297,1743,3857,8935103,18,212,40,1,25279,1,80,1,1929759,1,2889864,1,452961,1,115191,1,3508523,1,13406,1,368659,1,7344,4,506684,4,65005,4,839423,4,1663157,8,2474035,132,24687,36,5130,1,47722,1,3657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16171,1,126,1,9570,1,4646,1,16297,1,9570,1,0,1,0,0,0,0,0,0
37,9239300,4535,9570,34.019604,,0,13,10,120,71069,1322,3017,9168231,18,200,160,1,31991,1,110,1,2222321,1,2884374,1,453001,1,113067,1,3449239,1,13967,1,331167,1,7995,4,509299,4,66618,4,825226,4,1670621,8,2440490,120,52341,36,3236,1,31180,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15408,1,325,1,9570,1,4535,1,15733,1,9570,1,0,1,0,0,0,0,0,0
38,9168000,4502,9570,33.91435,,0,13,11,132,48512,1072,2846,9119488,18,200,90,1,39286,1,261,1,2141346,1,2931635,1,453031,1,115452,1,3425464,1,12925,1,423664,1,7625,4,483038,4,66638,4,811059,4,1601568,8,2392067,132,17714,24,2996,1,25218,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15473,1,104,1,9570,1,4502,1,15577,1,9570,1,0,1,0,0,0,0,0,0
39,9398700,4984,9570,33.806374,,0,14,12,144,64559,982,3216,9334141,18,212,110,1,24848,1,30,1,1926383,1,3012380,1,452921,1,129178,1,3770457,1,17834,1,429035,1,7625,4,543976,4,65155,4,904148,4,1783668,8,2662437,144,22163,24,3366,1,29166,1,3336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17363,1,128,1,9570,1,4984,1,17491,1,9570,1,0,1,0,0,0,0,0,0
