Frame, Manifolds, Points, Active Bodies, Top Y
454, 8456, 31035, 1240, 28.7777653
455, 8456, 31035, 1240, 28.7777653
456, 8456, 31035, 1240, 28.7777653
457, 8456, 31035, 1240, 28.7777653
458, 8456, 31035, 1240, 28.7777653
459, 8456, 31035, 1240, 28.7777653
460, 8456, 31035, 1240, 28.7777653
461, 8456, 31035, 1240, 28.7777653
462, 8456, 31035, 1240, 28.7777653
463, 8456, 31035, 1240, 28.7777653
464, 8456, 31035, 1240, 28.7777653
465, 8456, 31035, 1240, 28.7777653
466, 8456, 31035, 1240, 28.7777653
467, 8456, 31035, 1240, 28.7777653
468, 8456, 31035, 1240, 28.7777653
469, 8456, 31035, 1240, 28.7777653
470, 8456, 31035, 1240, 28.7777653
471, 8456, 31035, 1240, 28.7777653
472, 8456, 31035, 1240, 28.7777653
473, 8456, 31035, 1240, 28.7777653
474, 8456, 31035, 1240, 28.7777653
475, 8456, 31035, 1240, 28.7777653
476, 8456, 31035, 1240, 28.7777653
477, 8456, 31035, 1240, 28.7777653
478, 8456, 31035, 1240, 28.7777653
479, 8456, 31035, 1240, 28.7777653
480, 8456, 31035, 1240, 28.7777653
481, 8456, 31035, 1240, 28.7777653
482, 8456, 31035, 1240, 28.7777653
483, 8456, 31035, 1240, 28.7777653
484, 8456, 31035, 1240, 28.7777653
485, 8456, 31035, 1240, 28.7777653
486, 8456, 31035, 1240, 28.7777653
487, 8456, 31035, 1240, 28.7777653
488, 8456, 31035, 1240, 28.7777653
489, 8456, 31035, 1240, 28.7777653
490, 8456, 31035, 1240, 28.7777653
491, 8456, 31035, 1240, 28.7777653
492, 8456, 31035, 1240, 28.7777653
493, 8456, 31035, 1240, 28.7777653
494, 8456, 31035, 1240, 28.7777653
495, 8456, 31035, 1240, 28.7777653
496, 8456, 31035, 1240, 28.7777653
497, 8456, 31035, 1240, 28.7777653
498, 8456, 31035, 1240, 28.7777653
499, 8456, 31035, 1240, 28.7777653
