# UG-15 sensitivity map (a): source files of every frame, inlined frames included, over each pinned body (03 §6; route a1).
# subject	cand	pin	file
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/sys/pal/windows/futex.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/sys/sync/thread_parking/futex.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/sys/thread/windows.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/sys/thread_local/native/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/thread/current.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/thread/functions.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/thread/local.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/thread/thread.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/stdarch/crates/core_arch/src/x86/avx.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/stdarch/crates/core_arch/src/x86/rdtsc.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/stdarch/crates/core_arch/src/x86/sse2.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	registry/crossbeam-deque-0.8.8/src/deque.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	registry/crossbeam-queue-0.3.14/src/array_queue.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	registry/crossbeam-utils-0.8.23/src/backoff.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	registry/fixedbitset-0.5.7/src/block/avx2.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	registry/fixedbitset-0.5.7/src/lib.rs
clear	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	crates/boyko_ecs/src/ecs/constants.rs
clear	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	crates/boyko_ecs/src/ecs/memory/component_pool.rs
clear	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	library/core/src/alloc/layout.rs
clear	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	library/core/src/cmp.rs
clear	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	library/core/src/intrinsics/mod.rs
clear	P29-1	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::grow_rows	library/core/src/num/uint_macros.rs
clear	P29-2	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::commit_subregion	crates/boyko_ecs/src/ecs/constants.rs
clear	P29-2	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::commit_subregion	crates/boyko_ecs/src/ecs/memory/component_pool.rs
clear	P29-2	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::commit_subregion	library/core/src/intrinsics/mod.rs
clear	P29-2	<boyko_ecs::ecs::memory::component_pool::ComponentPool>::commit_subregion	library/core/src/num/uint_macros.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/archetype/archetype.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/archetype/archetype_bundle.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/archetype/archetype_master.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/change_detection/check_ticks.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/change_detection/tick.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/component/component_pool_bundle.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/component/dense/dense_registry.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/component/dense/dense_store.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/component/dense/live_bitmap.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/core/ecs_master/ecs_master.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_ecs/src/ecs/memory/component_pool.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	crates/boyko_utils/src/sparse_map/sparse_map.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/alloc/src/alloc.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/alloc/src/raw_vec/mod.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/alloc/src/slice.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/alloc/src/vec/into_iter.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/alloc/src/vec/mod.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/alloc/layout.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/cmp.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/intrinsics/mod.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/iter/range.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/num/uint_macros.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/option.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/const_ptr.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/mod.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/mut_ptr.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/non_null.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/slice/index.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/slice/mod.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/sync/atomic.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/std/src/alloc.rs
clear	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/std/src/sys/alloc/windows.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	crates/boyko_threadpool/src/block.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/alloc/src/alloc.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/alloc/layout.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/cell.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/mem/alignment.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/mem/mod.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/ptr/mod.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/ptr/mut_ptr.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/result.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/std/src/alloc.rs
clear	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/std/src/sys/alloc/windows.rs
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	crates/boyko_ecs/src/ecs/core/component/component_registry/mod.rs
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	library/core/src/any.rs
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	library/core/src/intrinsics/mod.rs
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	library/core/src/option.rs
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	library/core/src/sync/atomic.rs
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	library/std/src/sync/once.rs
clear	R-1	boyko_ecs::ecs::core::component::component_registry::register_new::<boyko_scene::transform::Transform>	library/std/src/sync/once_lock.rs
